"Date-Time","Matrix","Execution time Pre-Elaboration (ms)","Pre-Elaboration RAM (MB)","Rows removed","Cols removed","Execution time MBase (ms)","MBase RAM (MB)","Out of Time","Out of Memory","Rows","Columns","Cardinality Min","Cardinality Max","#MHS"
"24-01-2022-19:11:29","74L85.001","1","0","14","0","4","2","false","false","4","33","1","2","21"
"24-01-2022-19:11:30","example","0","0","1","4","1","2","false","false","7","6","1","3","3"
"24-01-2022-19:11:42","74181.010","3","0","31","1","34","6","false","false","7","65","2","3","167"
"24-01-2022-19:11:43","74181.020","3","0","27","1","99","30","false","false","12","65","3","5","1472"
"24-01-2022-19:11:44","74283.029","1","0","2","2","76","28","false","false","15","36","3","5","1425"
"24-01-2022-19:11:45","74L85.000","1","0","25","0","9","2","false","false","2","33","1","2","7"
"24-01-2022-19:11:46","74L85.001","1","0","14","0","4","2","false","false","4","33","1","2","21"
"24-01-2022-19:11:47","example","1","0","1","4","5","2","false","false","7","6","1","3","3"
"24-01-2022-19:13:45","74181.010","1","0","31","1","32","6","false","false","7","65","2","3","167"
"24-01-2022-19:13:46","74181.020","2","0","27","1","112","30","false","false","12","65","3","5","1472"
"24-01-2022-19:13:47","74283.029","1","0","2","2","82","28","false","false","15","36","3","5","1425"
"24-01-2022-19:13:48","74L85.000","2","0","25","0","9","2","false","false","2","33","1","2","7"
"24-01-2022-19:13:49","74L85.001","3","0","14","0","5","2","false","false","4","33","1","2","21"
"24-01-2022-19:13:50","example","1","0","1","4","5","2","false","false","7","6","1","3","3"
"24-01-2022-19:17:52","74181.010","1","0","31","1","25","6","false","false","7","65","2","3","167"
"24-01-2022-19:17:53","74181.020","2","0","27","1","120","30","false","false","12","65","3","5","1472"
"24-01-2022-19:17:54","74283.029","2","0","2","2","78","28","false","false","15","36","3","5","1425"
"24-01-2022-19:17:55","74L85.000","1","0","25","0","9","2","false","false","2","33","1","2","7"
"24-01-2022-19:17:56","74L85.001","2","0","14","0","6","2","false","false","4","33","1","2","21"
"24-01-2022-19:17:57","example","1","0","1","4","4","2","false","false","7","6","1","3","3"
"24-01-2022-19:18:13","74181.010","1","0","31","1","29","6","false","false","7","65","2","3","167"
"24-01-2022-19:18:14","74181.020","1","0","27","1","76","30","false","false","12","65","3","5","1472"
"24-01-2022-19:18:15","74283.029","1","0","2","2","77","28","false","false","15","36","3","5","1425"
"24-01-2022-19:18:16","74L85.000","1","0","25","0","9","2","false","false","2","33","1","2","7"
"24-01-2022-19:18:17","74L85.001","2","0","14","0","4","2","false","false","4","33","1","2","21"
"24-01-2022-19:18:18","example","2","0","1","4","5","2","false","false","7","6","1","3","3"
"24-01-2022-19:19:06","74181.010","2","0","31","1","30","6","false","false","7","65","2","3","167"
"24-01-2022-19:19:07","74181.020","2","0","27","1","154","30","false","false","12","65","3","5","1472"
"24-01-2022-19:19:08","74283.029","1","0","2","2","76","28","false","false","15","36","3","5","1425"
"24-01-2022-19:19:09","74L85.000","2","0","25","0","6","2","false","false","2","33","1","2","7"
"24-01-2022-19:19:10","74L85.001","2","0","14","0","3","2","false","false","4","33","1","2","21"
"24-01-2022-19:19:11","example","2","0","1","4","3","2","false","false","7","6","1","3","3"
